train_loss,train_accuracy,valid_loss,valid_accuracy
0.2515,0.8894,0.1761,0.9249
0.1275,0.9495,0.0961,0.9601
0.1120,0.9545,0.0844,0.9643
0.0883,0.9635,0.0836,0.9727
0.0590,0.9725,0.0677,0.9753
0.0594,0.9730,0.0679,0.9722
0.0508,0.9745,0.0560,0.9800
0.0679,0.9714,0.0549,0.9779
0.0409,0.9787,0.0644,0.9790
0.0486,0.9749,0.0483,0.9779
0.0442,0.9791,0.0599,0.9816
0.0438,0.9788,0.0550,0.9837
0.0467,0.9801,0.0741,0.9743
0.0536,0.9726,0.0611,0.9706
0.0361,0.9819,0.0464,0.9800
0.0279,0.9851,0.0533,0.9795
0.0342,0.9861,0.0480,0.9848
0.0322,0.9828,0.0471,0.9779
0.0239,0.9866,0.0477,0.9806
0.0235,0.9865,0.0520,0.9779
0.0332,0.9848,0.0479,0.9816
0.0332,0.9846,0.0906,0.9643
0.0383,0.9837,0.0450,0.9821
0.0339,0.9847,0.0340,0.9842
0.0227,0.9881,0.0369,0.9821
0.0211,0.9890,0.0706,0.9795
0.0161,0.9906,0.0522,0.9785
0.0105,0.9931,0.0385,0.9879
0.0108,0.9948,0.0467,0.9863
0.0220,0.9884,0.0534,0.9837
0.0231,0.9889,0.0515,0.9795
0.0273,0.9872,0.0556,0.9816
0.0132,0.9932,0.0715,0.9795
0.0161,0.9911,0.0580,0.9779
0.0312,0.9884,0.0471,0.9748
0.0136,0.9934,0.0545,0.9779
0.0194,0.9911,0.1486,0.9690
0.0168,0.9907,0.0488,0.9800
0.0096,0.9946,0.0555,0.9821
0.0067,0.9960,0.0475,0.9869
0.0315,0.9853,0.0554,0.9837
0.0238,0.9920,0.0434,0.9848
0.0130,0.9932,0.0876,0.9753
0.0127,0.9934,0.0772,0.9737
0.0216,0.9926,0.0661,0.9758
0.0234,0.9888,0.0723,0.9774
0.0147,0.9939,0.0415,0.9858
0.0051,0.9964,0.0560,0.9837
0.0043,0.9978,0.0565,0.9842
0.0081,0.9960,0.0887,0.9811
0.0042,0.9980,0.0807,0.9785
0.0055,0.9973,0.0666,0.9811
0.0032,0.9990,0.0705,0.9806
0.0022,0.9992,0.0689,0.9832
0.0019,0.9987,0.0745,0.9827
0.0014,0.9990,0.0766,0.9827
0.0019,0.9989,0.0768,0.9821
0.0013,0.9992,0.0816,0.9832
0.0008,0.9995,0.0729,0.9832
0.0008,0.9996,0.0834,0.9827
0.0002,1.0000,0.0817,0.9827
0.0014,0.9991,0.0831,0.9837
0.0022,0.9987,0.0825,0.9795
0.0014,0.9990,0.0711,0.9837
0.0006,0.9996,0.0610,0.9869
0.0006,0.9997,0.0634,0.9853
0.0012,0.9995,0.0626,0.9853
0.0003,0.9999,0.0684,0.9842
0.0002,1.0000,0.0782,0.9832
0.0005,0.9995,0.0824,0.9848
0.0007,0.9996,0.0761,0.9853
0.0011,0.9994,0.0724,0.9853
0.0004,0.9999,0.0791,0.9842
0.0001,1.0000,0.0770,0.9858
0.0012,0.9995,0.0777,0.9848
0.0011,0.9996,0.0767,0.9848
0.0004,0.9996,0.0811,0.9848
0.0012,0.9994,0.0826,0.9832
0.0006,0.9996,0.0769,0.9853
0.0001,1.0000,0.0807,0.9842
0.0008,0.9997,0.0858,0.9821
0.0002,1.0000,0.0862,0.9832
0.0005,0.9997,0.0760,0.9848
0.0001,1.0000,0.0797,0.9848
0.0000,1.0000,0.0844,0.9842
0.0003,0.9999,0.0822,0.9858
0.0020,0.9985,0.0555,0.9869
0.0002,1.0000,0.0696,0.9858
0.0001,1.0000,0.0733,0.9858
0.0002,0.9999,0.0762,0.9853
0.0001,1.0000,0.0793,0.9858
0.0001,1.0000,0.0849,0.9858
0.0005,0.9997,0.0741,0.9853
0.0007,0.9995,0.0736,0.9858
0.0001,1.0000,0.0742,0.9869
0.0003,0.9997,0.0691,0.9863
0.0005,0.9999,0.0730,0.9869
0.0003,0.9999,0.0795,0.9874
0.0004,0.9996,0.0822,0.9879
0.0001,1.0000,0.0766,0.9884
